2026-04-01 13:40:21 | usuario=databrev | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 14:33:27 | usuario=databrev | acao=login_sucesso | detalhe=tipo=master
2026-04-01 14:49:24 | usuario=databrev | acao=login_sucesso | detalhe=tipo=master
2026-04-01 14:49:25 | usuario=databrev | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 14:51:23 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 14:51:24 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 14:59:17 | usuario=databrev | acao=login_sucesso | detalhe=tipo=master
2026-04-01 14:59:18 | usuario=databrev | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:00:05 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:00:06 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:02:46 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:03:45 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:03:46 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:04:21 | usuario=databrev | acao=login_sucesso | detalhe=tipo=master
2026-04-01 15:04:22 | usuario=databrev | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:07:38 | usuario=databrev | acao=login_sucesso | detalhe=tipo=master
2026-04-01 15:07:39 | usuario=databrev | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:07:54 | usuario=eduardo | acao=login_falha | detalhe=credenciais_invalidas
2026-04-01 15:07:59 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:08:39 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:08:48 | usuario=eduardo | acao=login_falha | detalhe=credenciais_invalidas
2026-04-01 15:09:16 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:09:16 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:09:38 | usuario=eduardo | acao=inativar_vendas_a_prazo | detalhe=clientes=[7326791]; afetados=1
2026-04-01 15:10:10 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:10:11 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:28:52 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:29:23 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:29:24 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:31:23 | usuario=eduardo | acao=login_falha | detalhe=primeiro_acesso_sem_master
2026-04-01 15:31:32 | usuario=databrev | acao=login_falha | detalhe=primeiro_acesso_sem_master
2026-04-01 15:31:39 | usuario=databrev | acao=login_sucesso | detalhe=tipo=master
2026-04-01 15:31:50 | usuario=databrev | acao=cadastrar_usuario_primeiro_acesso | detalhe=alvo=eduardo
2026-04-01 15:32:04 | usuario=databrev | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:32:54 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:32:55 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:42:27 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:42:28 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:42:37 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:42:37 | usuario=eduardo | acao=inativar_cliente | detalhe=clientes=[4294968951, 8589972978]; afetados=2
2026-04-01 15:42:50 | usuario=eduardo | acao=inativar_vendas_a_prazo | detalhe=clientes=[1952429]; afetados=1
2026-04-01 15:45:49 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:45:49 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:52:32 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:52:33 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:52:39 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:52:39 | usuario=eduardo | acao=excluir_cliente | detalhe=clientes=[4294968951]; afetados=1
2026-04-01 15:55:02 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:55:02 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 15:57:55 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 15:57:56 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 16:21:53 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 16:21:54 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 16:39:45 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 16:45:14 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 16:45:15 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 16:50:16 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 16:50:17 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 16:50:19 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 16:50:32 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 16:50:32 | usuario=eduardo | acao=excluir_cliente | detalhe=clientes=[295146]; afetados=1
2026-04-01 16:56:12 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 16:56:12 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 17:18:22 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 17:18:26 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 17:18:37 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 17:18:37 | usuario=eduardo | acao=excluir_cliente | detalhe=clientes=[8590030088]; afetados=1
2026-04-01 17:18:57 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 17:26:56 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 17:27:07 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 17:44:52 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 17:44:57 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 18:22:48 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 18:22:54 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=26292
2026-04-01 18:23:12 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=26292
2026-04-01 18:23:57 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=26292
2026-04-01 18:26:24 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 18:26:30 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=26292
2026-04-01 18:26:35 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=clientes_inativos;quantidade=263
2026-04-01 18:26:52 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=26292
2026-04-01 18:38:36 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 18:41:34 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 18:41:38 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=26292;agrupar=none
2026-04-01 18:42:03 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=259;agrupar=customer
2026-04-01 18:42:24 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=26292;agrupar=none
2026-04-01 18:42:43 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=3;agrupar=motive
2026-04-01 18:48:43 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 18:52:47 | usuario=eduardo | acao=login_falha | detalhe=credenciais_invalidas
2026-04-01 18:52:51 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 19:02:03 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
